date,F
01-01,52.0
01-02,51.6
01-03,54.4
01-04,58.2
01-05,59.2
01-06,85.2
01-07,60.4
01-08,62.6
01-09,59.8
01-10,88.2
01-11,59.8
01-12,59.4
01-13,59.6
01-14,64.2
01-15,62.6
01-16,62.6
01-17,61.4
01-18,60.2
01-19,61.2
01-20,60.6
01-21,56.2
01-22,58.75
01-23,60.2
01-24,60.2
01-25,61.0
01-26,60.6
01-27,58.8
01-28,90.4
01-29,92.6
01-30,63.8
01-31,65.4
02-01,65.0
02-02,63.6
02-03,68.4
02-04,63.0
02-05,62.8
02-06,63.6
02-07,66.6
02-08,68.4
02-09,69.4
02-10,71.0
02-11,68.4
02-12,64.2
02-13,65.0
02-14,64.8
02-15,64.6
02-16,63.2
02-17,61.2
02-18,63.0
02-19,65.8
02-20,63.0
02-21,61.6
02-22,60.0
02-23,59.0
02-24,60.6
02-25,61.4
02-26,66.0
02-27,67.6
02-28,68.6
02-29,74.0
03-01,72.4
03-02,75.0
03-03,74.6
03-04,72.6
03-05,73.5
03-06,72.2
03-07,69.8
03-08,96.4
03-09,73.8
03-10,68.4
03-11,65.4
03-12,95.8
03-13,65.4
03-14,70.4
03-15,74.2
03-16,71.8
03-17,73.2
03-18,98.2
03-19,76.5
03-20,74.0
03-21,73.8
03-22,72.0
03-23,71.6
03-24,76.0
03-25,104.8
03-26,74.4
03-27,75.4
03-28,79.0
03-29,77.2
03-30,77.0
03-31,103.0
04-01,81.4
04-02,85.4
04-03,83.8
04-04,86.6
04-05,87.4
04-06,83.8
04-07,83.75
04-08,88.0
04-09,86.5
04-10,85.25
04-11,87.75
04-12,84.5
04-13,76.5
04-14,80.5
04-15,84.75
04-16,84.25
04-17,83.0
04-18,83.0
04-19,84.75
04-20,85.0
04-21,86.0
04-22,86.75
04-23,84.5
04-24,88.8
04-25,90.0
04-26,91.6
04-27,89.6
04-28,91.4
04-29,93.2
04-30,115.2
05-01,109.5
05-02,90.0
05-03,107.83333333333333
05-04,91.5
05-05,97.5
05-06,99.16666666666667
05-07,95.83333333333333
05-08,93.5
05-09,111.16666666666667
05-10,89.33333333333333
05-11,90.83333333333333
05-12,91.66666666666667
05-13,93.0
05-14,94.83333333333333
05-15,110.33333333333333
05-16,93.16666666666667
05-17,92.0
05-18,92.16666666666667
05-19,93.16666666666667
05-20,109.16666666666667
05-21,89.83333333333333
05-22,89.2
05-23,93.75
05-24,97.25
05-25,101.0
05-26,100.25
05-27,99.0
05-28,101.8
05-29,101.6
05-30,101.0
05-31,120.6
06-01,101.6
06-02,104.8
06-03,107.2
06-04,108.6
06-05,125.0
06-06,123.8
06-07,104.2
06-08,104.0
06-09,104.2
06-10,105.0
06-11,107.8
06-12,125.4
06-13,107.4
06-14,107.6
06-15,109.4
06-16,109.0
06-17,107.8
06-18,108.2
06-19,107.6
06-20,110.2
06-21,130.4
06-22,111.6
06-23,110.8
06-24,108.2
06-25,108.4
06-26,108.2
06-27,109.2
06-28,109.0
06-29,106.2
06-30,102.6
07-01,106.8
07-02,109.2
07-03,107.8
07-04,108.4
07-05,129.0
07-06,112.8
07-07,111.8
07-08,113.0
07-09,113.6
07-10,113.4
07-11,107.16666666666667
07-12,104.66666666666667
07-13,110.75
07-14,132.5
07-15,108.75
07-16,111.4
07-17,128.8
07-18,107.2
07-19,107.0
07-20,106.2
07-21,104.0
07-22,105.0
07-23,104.4
07-24,99.8
07-25,102.6
07-26,103.8
07-27,108.0
07-28,107.4
07-29,109.6
07-30,107.8
07-31,103.0
08-01,108.4
08-02,108.0
08-03,107.6
08-04,109.4
08-05,108.0
08-06,106.6
08-07,107.2
08-08,108.2
08-09,107.2
08-10,105.8
08-11,104.6
08-12,104.2
08-13,103.5
08-14,103.25
08-15,111.0
08-16,110.25
08-17,108.5
08-18,107.0
08-19,108.5
08-20,108.75
08-21,108.0
08-22,102.5
08-23,105.0
08-24,106.25
08-25,107.25
08-26,108.0
08-27,109.0
08-28,106.75
08-29,106.66666666666667
08-30,107.2
08-31,105.0
09-01,102.8
09-02,103.6
09-03,106.8
09-04,105.4
09-05,105.4
09-06,107.4
09-07,106.4
09-08,103.6
09-09,94.8
09-10,95.2
09-11,99.5
09-12,102.2
09-13,102.4
09-14,101.0
09-15,101.6
09-16,119.8
09-17,99.2
09-18,100.0
09-19,98.8
09-20,96.8
09-21,95.8
09-22,93.8
09-23,94.2
09-24,94.5
09-25,96.4
09-26,93.8
09-27,88.4
09-28,91.62
09-29,92.4
09-30,94.8
10-01,92.8
10-02,92.4
10-03,93.4
10-04,94.0
10-05,92.4
10-06,89.2
10-07,88.4
10-08,87.8
10-09,87.2
10-10,103.6
10-11,82.4
10-12,84.4
10-13,84.8
10-14,84.8
10-15,109.0
10-16,82.2
10-17,84.2
10-18,83.8
10-19,83.0
10-20,83.4
10-21,83.0
10-22,84.4
10-23,84.0
10-24,80.2
10-25,84.0
10-26,81.4
10-27,78.25
10-28,79.0
10-29,78.25
10-30,78.75
10-31,74.5
11-01,83.66666666666667
11-02,76.25
11-03,79.5
11-04,83.5
11-05,83.25
11-06,78.5
11-07,80.25
11-08,109.5
11-09,73.0
11-10,72.75
11-11,74.75
11-12,74.5
11-13,76.25
11-14,75.5
11-15,74.2
11-16,74.2
11-17,76.2
11-18,76.2
11-19,72.0
11-20,68.0
11-21,68.0
11-22,67.4
11-23,69.6
11-24,69.2
11-25,94.0
11-26,66.0
11-27,66.2
11-28,69.0
11-29,65.4
11-30,64.6
12-01,63.6
12-02,90.6
12-03,63.6
12-04,62.6
12-05,61.4
12-06,61.4
12-07,60.2
12-08,61.8
12-09,62.4
12-10,59.0
12-11,58.8
12-12,61.2
12-13,60.2
12-14,60.6
12-15,58.8
12-16,57.6
12-17,55.0
12-18,58.4
12-19,58.0
12-20,59.6
12-21,59.25
12-22,59.8
12-23,60.2
12-24,58.0
12-25,60.2
12-26,57.4
12-27,54.4
12-28,52.8
12-29,51.4
12-30,51.6
12-31,50.6
